web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740198-5243","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@Eenadu_English","ETV Bharat","Vice: How Christian Bale and Amy Adams became the Cheneys
#Vice #DickCheneys #Christianbale #AmyAdams #DickCheneysbiopic #Hollywood @ChristianBaleRP
@ChristianBaleFr @AmyAdamsUpdate @amyadamsfancom http://www.eenaduindia.com/entertainment/hollywood/2018/12/21102308/Vice-How-Christian-Bale-and-Amy-Adams-became-the-Cheneys.vpf …pic.twitter.com/uKz94xTYAH","","2","8","1545369140000","9:12 PM - 20 Dec 2018","/Eenadu_English/status/1075982278889754624"
"1556740198-5290","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@MovieMantz","Scott Mantz","RIGHT NOW on @ColliderVideo MOVIE REVIEW TALK!! WATCH me & guest critics @DeadlinePete & @PNemiroff review #Bumblebee #Vice #WelcometoMarwen #Destroyer & #BirdBox right HERE: https://www.youtube.com/watch?v=3lxhbtkHg80 …pic.twitter.com/QgVY2ZrB50","4","10","89","1545422867000","12:07 PM - 21 Dec 2018","/MovieMantz/status/1076207627279904768"
"1556740198-5317","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@ETCanada","ET Canada","Christian Bale shares how he prepared himself to play politician, Dick Cheney in #Vice http://etcnda.com/2bWqYE pic.twitter.com/QPrXDhLVXz","","1","4","1544639824000","10:37 AM - 12 Dec 2018","/ETCanada/status/1072923303717810177"
"1556740198-5282","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@ldbahr","Lindsey Bahr","“There’s always attraction, I feel like, in ending a career in one go,"" said Christian Bale of deciding to play Dick Cheney in #Vice  https://apnews.com/b2fc3d2525e24c849e10610dca12f83a …","1","3","10","1545348980000","3:36 PM - 20 Dec 2018","/ldbahr/status/1075897722375421953"
"1556740198-5302","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@djkevlar","Kevin Polowy","Here's Adam McKay (@GhostPanther) and @SteveCarell on how Anchorman predicted Carell would one day be part of the Bush administration. (He's Donald Rumsfeld in #Vice.) @YahooEnt #ACUpic.twitter.com/QVeQJP30fD","","1","5","1545163039000","11:57 AM - 18 Dec 2018","/djkevlar/status/1075117826875244545"
"1556740198-5254","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@LeoRosanna","Rosanna Leo  🇨🇦","God help her, she wanted to know more about him, needed to know everything, and wanted to share herself with him in return.
This wasn’t just a quick, careless coupling. No one night stand. Something big was happening here.
#FridayKiss #Vice","1","1","8","1545405387000","7:16 AM - 21 Dec 2018","/LeoRosanna/status/1076134308669255681"
"1556740198-5273","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@JustJared","JustJared.com","Amy Adams & Adam McKay attend a screening of #Vice hosted by @TheAcademy!http://www.justjared.com/2018/12/19/amy-adams-joins-director-adam-mckay-at-vice-screening/ …","","3","13","1545197195000","9:26 PM - 18 Dec 2018","/JustJared/status/1075261088944582657"
"1556740198-5277","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@AMCTheatres","AMC Theatres","How did Cheney get to be the VP? Let's dive into the history behind #VICE - in theatres December 25. http://bit.ly/2EdeqIL","2","4","23","1544490961000","5:16 PM - 10 Dec 2018","/AMCTheatres/status/1072298927221817344"
"1556740198-5326","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@marcmalkin","Marc Malkin","Tonight. #vice premiere.","1","2","5","1544578015000","5:26 PM - 11 Dec 2018","/marcmalkin/status/1072664060620140544"
"1556740198-5292","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@ColliderVideo","Collider Video","Today on #MovieReviewTalk w/ @MovieMantz, Scott reviews the #BumblebeeMovie & #Vice w/ @DeadlinePete & @PNemiroff! 

Watch Live: https://bit.ly/2EBfTsF pic.twitter.com/J5rsDPoDg2","","8","27","1545411623000","9:00 AM - 21 Dec 2018","/ColliderVideo/status/1076160464692760579"
"1556740198-5295","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@IndieWire","IndieWire","Even the lawyer Dick Cheney shot in the face is planning to go see #Vice: “I’m planning to watch it and some of my daughters have talked about going to see it after watching the trailer” https://bit.ly/2SZAUkP pic.twitter.com/IsV5BXry6V","","3","9","1545336001000","12:00 PM - 20 Dec 2018","/IndieWire/status/1075843281723031552"
"1556740198-5256","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@realjulianroman","Julian Roman","#Vice is a brilliant black comedy #ChristianBale is incredible as #DickCheney @vicemovie @AnnapurnaPics #AdamMcKay #AmyAdams #SamRockwellhttps://movieweb.com/vice-movie-review-christian-bale/ …","","5","9","1545156724000","10:12 AM - 18 Dec 2018","/realjulianroman/status/1075091340260769793"
"1556740198-5252","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@ajhan","Angie J. Han","wow, but #Vice is working so very hard to say not very much","1","","14","1545075109000","11:31 AM - 17 Dec 2018","/ajhan/status/1074749024182226944"
