web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740763-5511","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@ShenaMalsiana","shena malsiana","Covering “Shallow” by #BradleyCooper & @ladygaga from OST A Star Is Born @starisbornmovie. 

Hope you guys like it! 

#AStarIsBorn #AStarIsBornMoviepic.twitter.com/Lx9ZFkSzHn","4","18","40","1540363661000","11:47 PM - 23 Oct 2018","/ShenaMalsiana/status/1054987779397050369"
"1556740763-5575","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@jaakemeIIor","jake mellor","This may sound silly, but I’ve actually been that happy & proud of Lady Gaga recently. I’ve been happy crying for her. Like seeing everyone love A Star Is Born & the Soundtrack is just so amazing. Gaga really deserves all the success. She works so hard. @ladygaga #AStarIsBorn","","6","35","1539389623000","5:13 PM - 12 Oct 2018","/jaakemeIIor/status/1050902364306182147"
"1556740763-5501","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@THCPHearing","The Hearing Care Partnership","We've always stressed the importance of protecting your ears from prolonged levels of noise, but the latest hit musical 'A Star is Born' has reached new audiences, highlighting how damaging tinnitus really can be http://ow.ly/Ko1H30ml2CX  #tinnitus #AStarIsBorn #HearingLoss","","2","4","1540290110000","3:21 AM - 23 Oct 2018","/THCPHearing/status/1054679283384356864"
"1556740763-5487","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@Calbert1994","Chris","A Star is Born was incredible. One of the most moving films I’ve seen in years. 
What a flex by Bradley Cooper and Lady Gaga. #AStarIsBorn","1","77","343","1540206220000","4:03 AM - 22 Oct 2018","/Calbert1994/status/1054327420386299904"
"1556740763-5508","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@Josh__B_xx","Josh Baldwin","Just come out of watching A Star Is Born and I am genuinely speechless. How talented is Lady Gaga, and what an amazing film. One of the best I’ve ever seen. #AStarIsBorn","2","","18","1540070783000","2:26 PM - 20 Oct 2018","/Josh__B_xx/status/1053759358084018176"
"1556740763-5576","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@ladygagachile95","Lady Gaga Chile 95","Always Remember Us This Way es una de las mejores canciones de A Star Is Born  #AStarIsBorn pic.twitter.com/z0sxMIrFMe","","4","15","1539386829000","4:27 PM - 12 Oct 2018","/ladygagachile95/status/1050890647685779456"
"1556740763-5543","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@TommyBlunt95","Tommy Blunt","'A Star Is Born' soundtrack spends second week at No. 1 on #Billboard200 chart https://blbrd.cm/bkpj4B   
#AStarIsBorn @ladygaga  (via @billboard )pic.twitter.com/t3iKzy4ayd","2","5","7","1540163836000","4:17 PM - 21 Oct 2018","/TommyBlunt95/status/1054149649987182592"
"1556740763-5549","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@BORReport","BoxOfficeReport.com","A Star is Born grossed an estimated $2.93M on Wednesday.  Total gross stands at $104.40M.

#AStarIsBorn  #BoxOffice  @wbpictures  @starisbornmovie","1","44","163","1539871163000","6:59 AM - 18 Oct 2018","/BORReport/status/1052922090125385730"
"1556740763-5507","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@LGTourNews","Lady Gaga Updates","A journalist in Ireland asked all the presidential candidates if they had seen #AStarIsBorn yet. The results are pretty great.

""If there is one thing I care more about democracy, it is A Star is Born.""
http://www.dailyedge.ie/a-star-is-born-presidential-election-ireland-4295897-Oct2018/ …","","44","155","1540156908000","2:21 PM - 21 Oct 2018","/LGTourNews/status/1054120592981389313"
"1556740763-5520","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@LadyGagaUpdates","Lady Gaga Updates","""A Star Is Born"" by Lady Gaga & Bradley Cooper is projected to spend a third consecutive week at #1 on the Billboard 200 with 100K SPS. #AStarIsBorn pic.twitter.com/rc9AA8argz","","18","70","1540380099000","4:21 AM - 24 Oct 2018","/LadyGagaUpdates/status/1055056723168448514"
"1556740763-5582","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@cinema76fs","Cinema '76","Here's what they're saying about this must-see movie that's headed for the Oscars!

You can watch A Star is Born -- this year's most acclaimed Hollywood movie at CINEMA '76 ANONAS at any of the following showtimes posted on our social media accounts!

#AStarIsBorn
#LadyGagapic.twitter.com/EoyG9YHobx","","12","48","1539338556000","3:02 AM - 12 Oct 2018","/cinema76fs/status/1050688175629205504"
"1556740763-5495","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@paisleymcgalex","Paisley","Omg A Star Is Born was amazing . And so emotional  #AStarIsBorn","","1","11","1540327566000","1:46 PM - 23 Oct 2018","/paisleymcgalex/status/1054836384110919680"
